case	atoms	charge	multiplicity	mopac_hof_kcal	pm7rs_hof_kcal	d_hof_kcal	mopac_homo_ev	pm7rs_homo_ev	d_homo_ev	mopac_lumo_ev	pm7rs_lumo_ev	d_lumo_ev	mopac_dipole_debye	pm7rs_dipole_debye	d_dipole_debye	worst_charge_e	mopac_s2	pm7rs_s2	d_s2
carbonyl_sulfide	3	0	1	-24.511070	-24.511081	-0.000011	-10.1540	-10.1536	0.0004	-1.1570	-1.1569	0.0001	0.0690	0.0687	-0.0003	0.00000094			
thioformaldehyde	4	0	1	34.831370	34.831398	0.000028	-8.8340	-8.8342	-0.0002	-1.3850	-1.3850	-0.0000	1.5240	1.5241	0.0001	0.00000050			
methanethiol	6	0	1	-3.137130	-3.137090	0.000040	-8.8570	-8.8570	-0.0000	-0.1850	-0.1847	0.0003	2.0010	2.0008	-0.0002	0.00000050			
silanol	6	0	1	-66.180390	-66.179948	0.000442	-11.6160	-11.6165	-0.0005	1.1630	1.1630	0.0000	1.8940	1.8940	0.0000	0.00000100			
hydrogen_chloride	2	0	1	-20.483190	-20.483193	-0.000003	-11.7280	-11.7285	-0.0005	2.0850	2.0854	0.0004	1.7400	1.7404	0.0004	0.00000035			
hydrogen_bromide	2	0	1	-3.369500	-3.369498	0.000002	-10.6430	-10.6428	0.0002	2.1850	2.1854	0.0004	1.5700	1.5696	-0.0004	0.00000013			
hydrogen_iodide	2	0	1	0.062530	0.062529	-0.000001	-9.5670	-9.5670	-0.0000	2.2280	2.2283	0.0003	2.2450	2.2448	-0.0002	0.00000010			
chlorine	2	0	1	4.957780	4.957784	0.000004	-11.3910	-11.3907	0.0003	-2.2150	-2.2153	-0.0003	0.0000	0.0000	0.0000	0.00000000			
bromine	2	0	1	9.139720	9.139716	-0.000004	-10.4160	-10.4157	0.0003	-2.0500	-2.0495	0.0005	0.0000	0.0000	0.0000	0.00000000			
iodine	2	0	1	13.779490	13.779491	0.000001	-9.0950	-9.0948	0.0002	-1.5680	-1.5676	0.0004	0.0000	0.0000	0.0000	0.00000000			
chloromethane	5	0	1	-16.336920	-16.336871	0.000049	-10.9470	-10.9473	-0.0003	0.8030	0.8028	-0.0002	2.1450	2.1447	-0.0003	0.00000075			
bromomethane	5	0	1	-7.401990	-7.401942	0.000048	-10.1960	-10.1965	-0.0005	0.6510	0.6512	0.0002	1.7890	1.7887	-0.0003	0.00000038			
iodomethane	5	0	1	3.614630	3.614678	0.000048	-9.0160	-9.0157	0.0003	0.6910	0.6914	0.0004	2.0370	2.0366	-0.0004	0.00000086			
chloroform	5	0	1	-19.646460	-19.646444	0.000016	-11.6450	-11.6446	0.0004	-0.6970	-0.6967	0.0003	1.5210	1.5212	0.0002	0.00000044			
chlorobenzene	12	0	1	14.901190	14.901265	0.000075	-9.8980	-9.8976	0.0004	-0.3030	-0.3026	0.0004	2.3040	2.3044	0.0004	0.00000109			
lithium_hydride	2	0	1	53.388060	53.388060	0.000000	-7.3400	-7.3402	-0.0002	4.1560	4.1557	-0.0003	3.1840	3.1840	-0.0000	0.00000030			
lithium_fluoride	2	0	1	-79.234140	-79.234139	0.000001	-10.9870	-10.9865	0.0005	2.7010	2.7007	-0.0003	6.8550	6.8554	0.0004	0.00000025			
sodium_chloride	2	0	1	-35.675820	-35.675817	0.000003	-9.7790	-9.7788	0.0002	1.6040	1.6038	-0.0002	9.2000	9.2001	0.0001	0.00000025			
potassium_bromide	2	0	1	-36.719040	-36.719040	-0.000000	-8.8710	-8.8714	-0.0004	-0.4350	-0.4351	-0.0001	10.0920	10.0923	0.0003	0.00000054			
beryllium_dihydride	3	0	1	8.580460	8.580465	0.000005	-11.7020	-11.7021	-0.0001	4.4910	4.4915	0.0005	0.0000	0.0000	0.0000	0.00000012			
magnesium_dichloride	3	0	1	-81.484150	-81.484148	0.000002	-11.3240	-11.3239	0.0001	-0.1590	-0.1590	-0.0000	0.0000	0.0000	0.0000	0.00000031			
calcium_difluoride	3	0	1	-141.665640	-141.665640	0.000000	-11.8340	-11.8336	0.0004	-0.9330	-0.9333	-0.0003	5.2270	5.2268	-0.0002	0.00000048			
benzene	12	0	1	23.001290	23.001288	-0.000002	-9.8100	-9.8104	-0.0004	0.2240	0.2242	0.0002	0.0000	0.0000	0.0000	0.00000002			
butadiene	10	0	1	28.435720	28.435723	0.000003	-9.5660	-9.5665	-0.0005	0.0410	0.0409	-0.0001	0.0000	0.0000	0.0000	0.00000052			
pyridine	11	0	1	36.813320	36.813319	-0.000001	-10.2870	-10.2868	0.0002	-0.2990	-0.2993	-0.0003	2.5200	2.5203	0.0003	0.00000086			
furan	9	0	1	25.010930	25.010929	-0.000001	-9.5990	-9.5985	0.0005	0.6610	0.6607	-0.0003	0.1300	0.1303	0.0003	0.00000090			
thiophene	9	0	1	78.361700	78.361758	0.000058	-8.9380	-8.9385	-0.0005	0.1890	0.1892	0.0002	0.7570	0.7572	0.0002	0.00000048			
pyrrole	10	0	1	32.779640	32.779643	0.000003	-8.9520	-8.9518	0.0002	1.1510	1.1512	0.0002	2.4360	2.4358	-0.0002	0.00000038			
imidazole	9	0	1	38.701510	38.701514	0.000004	-9.5600	-9.5603	-0.0003	0.6150	0.6152	0.0002	4.5290	4.5286	-0.0004	0.00000055			
